bookNumber,bookName,shortCode,totalChapters,lastChapter_totalVerses
1,Genesis,Ge,50,26
2,Exodus,Ex,40,38
3,Leviticus,Le,27,34
4,Numbers,Nu,36,13
5,Deuteronomy,De,34,12
6,Joshua,Jos,24,33
7,Judges,Jg,21,25
8,Ruth,Ru,4,22
9,1 Samuel,1Sa,31,13
10,2 Samuel,2Sa,24,25
11,1 Kings,1Ki,22,53
12,2 Kings,2Ki,25,29
13,1 Chronicles,1Ch,29,30
14,2 Chronicles,2Ch,36,23
15,Ezra,Ezr,10,44
16,Nehemiah,Ne,13,31
17,Esther,Es,10,3
18,Job,Job,42,16
19,Psalms,Ps,150,6
20,Proverbs,Pr,31,31
21,Ecclesiastes,Ec,12,14
22,Song of Solomon,Ca,8,14
23,Isaiah,Isa,66,24
24,Jeremiah,Jer,52,34
25,Lamentations,La,5,22
26,Ezekiel,Eze,48,35
27,Daniel,Da,12,13
28,Hosea,Ho,14,9
29,Joel,Joe,3,21
30,Amos,Am,9,15
31,Obadiah,Ob,1,21
32,Jonah,Jon,4,11
33,Micah,Mic,7,20
34,Nahum,Na,3,19
35,Habakkuk,Hab,3,19
36,Zephaniah,Zep,3,20
37,Haggai,Hag,2,23
38,Zechariah,Zec,14,21
39,Malachi,Mal,4,6
40,Matthew,Mt,28,20
41,Mark,Mr,16,8
42,Luke,Lu,24,53
43,John,Joh,21,25
44,Acts,Ac,28,31
45,Romans,Ro,16,27
46,1 Corinthians,1Co,16,24
47,2 Corinthians,2Co,13,14
48,Galatians,Ga,6,18
49,Ephesians,Eph,6,24
50,Philippians,Php,4,23
51,Colossians,Col,4,18
52,1 Thessalonians,1Th,5,28
53,2 Thessalonians,2Th,3,18
54,1 Timothy,1Ti,6,21
55,2 Timothy,2Ti,4,22
56,Titus,Tit,3,15
57,Philemon,Phm,1,25
58,Hebrews,Heb,13,25
59,James,Jas,5,20
60,1 Peter,1Pe,5,14
61,2 Peter,2Pe,3,18
62,1 John,1Jo,5,21
63,2 John,2Jo,1,13
64,3 John,3Jo,1,14
65,Jude,Jude,1,25
66,Revelation,Re,22,21
